id;nome_alimento;preparo;kcal;proteina;lipidios;carboidratos;fibra
1;Arroz (polido. parboilizado. agulha. agulhinha. etc.);Não se aplica;135.62;2.5;1.2;27.78;1.55
2;Arroz integral;Não se aplica;130.95;2.56;1.97;25.56;2.72
3;Milho (em grão);Cru(a);160.14;3.32;7.18;25.11;4.25
4;Milho (em grão);Cozido(a);160.14;3.32;7.18;25.11;4.25
5;Milho (em grão);Grelhado(a)/brasa/churrasco;160.14;3.32;7.18;25.11;4.25
6;Milho (em grão);Assado(a);160.14;3.32;7.18;25.11;4.25
7;Milho (em grão);Refogado(a);160.14;3.32;7.18;25.11;4.25
8;Milho (em grão);Ensopado;160.14;3.32;7.18;25.11;4.25
9;Milho (em grão);Não se aplica;160.14;3.32;7.18;25.11;4.25
10;Canjiquinha de milho em grão;Cru(a);79.68;1.24;2.2;13.5;0.67
11;Canjiquinha de milho em grão;Cozido(a);62.95;1.24;0.31;13.5;0.67
12;Canjiquinha de milho em grão;Ensopado;79.68;1.24;2.2;13.5;0.67
13;Canjiquinha de milho em grão;Mingau;62.95;1.24;0.31;13.5;0.67
14;Canjiquinha de milho em grão;Sopa;31.44;0.95;0.12;7.01;0.71
15;Canjiquinha de milho em grão;Não se aplica;62.95;1.24;0.31;13.5;0.67
16;Xerém de milho;Não se aplica;62.95;1.24;0.31;13.5;0.67
17;Amendoim (em grão) in natura;Não se aplica;567;25.8;49.24;16.13;8.5
18;Ervilha em grão;Não se aplica;109.09;5.36;3.06;15.63;5.5
19;Fava (em grão);Não se aplica;85.62;4.8;3.17;10.1;3.6
20;Mangalô amargo em grão;Não se aplica;85.62;4.8;3.17;10.1;3.6
21;Feijãodecorda;Não se aplica;121.33;3.17;3.13;20.32;5
22;Feijãoverde;Não se aplica;121.33;3.17;3.13;20.32;5
23;Semente de linhaça;Não se aplica;534;18.29;42.16;28.88;27.3
24;Andu;Não se aplica;97.41;5.84;1.79;15.05;3.78
25;Grão de bico;Não se aplica;188.48;8.86;5.36;27.42;7.6
26;Lentilha;Não se aplica;136.28;9.02;2.67;20.13;5.86
27;Soja em grão;Não se aplica;196.34;16.64;11.61;9.93;6
28;Feijão (preto. mulatinho. roxo. rosinha. etc.);Não se aplica;97.41;5.84;1.79;15.05;3.78
29;Quirera não especificada;Não se aplica;62.95;1.24;0.31;13.5;0.67
30;Feijãoverde orgânico;Não se aplica;121.33;3.17;3.13;20.32;5
31;Feijão orgânico;Não se aplica;97.41;5.84;1.79;15.05;3.78
32;Pipoca  light;Não se aplica;445.94;10.77;17.78;64.85;12.07
33;Arroz  orgânico;Não se aplica;135.62;2.5;1.2;27.78;1.55
34;Arroz integral orgânico;Não se aplica;130.95;2.56;1.97;25.56;2.72
35;Feijãodesoja orgânico;Não se aplica;196.34;16.64;11.61;9.93;6
36;Quinoa;Não se aplica;135.47;4.37;4.33;19.83;2.16
37;Batatainglesa;Cru(a);86;1.71;0.1;20.01;2.05
38;Batatainglesa;Cozido(a);86;1.71;0.1;20.01;2.05
39;Batatainglesa;Grelhado(a)/brasa/churrasco;86;1.71;0.1;20.01;2.05
40;Batatainglesa;Assado(a);86;1.71;0.1;20.01;2.05
41;Batatainglesa;Frito(a);263.5;2.87;13.64;33.6;3.44
